,0,1
0,G1,BJA-Nilerat-20220915_extract_blank
1,G2,BJA-Nilerat-20220915_resuspension_blank
2,H7,BJA-Nilerat-20220915_1700s_QC100uL
3,A0,BJA-Nilerat-20220915_1743F_33wk_0721
4,A1,BJA-Nilerat-20220915_1735M_30wk_0630
5,A2,BJA-Nilerat-20220915_1732M_27wk_0606
6,A3,BJA-Nilerat-20220915_1731F_32wk_0712
7,A4,BJA-Nilerat-20220915_1789F_34wk_0826
8,H7,BJA-Nilerat-20220915_1700s_QC100uL
9,A5,BJA-Nilerat-20220915_1741M_26wk_0602
10,A6,BJA-Nilerat-20220915_1742F_32wk_0714
11,A7,BJA-Nilerat-20220915_1732M_28wk_0613
12,A8,BJA-Nilerat-20220915_1742F_34wk_0728
13,A9,BJA-Nilerat-20220915_1746F_32wk_0714
14,H7,BJA-Nilerat-20220915_1700s_QC100uL
15,B0,BJA-Nilerat-20220915_1743F_31wk_0707
16,B1,BJA-Nilerat-20220915_1727M_27wk_0606
17,B2,BJA-Nilerat-20220915_1754F_31wk_0714
18,B3,BJA-Nilerat-20220915_1748F_29wk_0623
19,B4,BJA-Nilerat-20220915_1857M_26wk_0826
20,H7,BJA-Nilerat-20220915_1700s_QC100uL
21,B5,BJA-Nilerat-20220915_1810F_31wk_0826
22,B6,BJA-Nilerat-20220915_1742F_33wk_0721
23,B7,BJA-Nilerat-20220915_1788F_34wk_0826
24,B8,BJA-Nilerat-20220915_1741M_27wk_0609
25,B9,BJA-Nilerat-20220915_1735M_29wk_0622
26,H7,BJA-Nilerat-20220915_1700s_QC100uL
27,C0,BJA-Nilerat-20220915_1754F_32wk_0721
28,C1,BJA-Nilerat-20220915_1748F_30wk_0630
29,C2,BJA-Nilerat-20220915_1754F_30wk_0707
30,C3,BJA-Nilerat-20220915_1731F_31wk_0705
31,C4,BJA-Nilerat-20220915_1809M_31wk_0826
32,H7,BJA-Nilerat-20220915_1700s_QC100uL
33,C5,BJA-Nilerat-20220915_1746F_30wk_0630
34,C6,BJA-Nilerat-20220915_1728M_28wk_0621
35,C7,BJA-Nilerat-20220915_1741M_28wk_0615
36,C8,BJA-Nilerat-20220915_1727M_28wk_0613
37,C9,BJA-Nilerat-20220915_1728M_27wk_0606
38,H7,BJA-Nilerat-20220915_1700s_QC100uL
39,D0,BJA-Nilerat-20220915_1798M_32wk_0826
40,D1,BJA-Nilerat-20220915_1743F_32wk_0714
41,D2,BJA-Nilerat-20220915_1748F_31wk_0707
42,D3,BJA-Nilerat-20220915_1728M_28wk_0613
43,D4,BJA-Nilerat-20220915_1735M_31wk_0707
44,H7,BJA-Nilerat-20220915_1700s_QC100uL
45,D5,BJA-Nilerat-20220915_1731F_30wk_0628
46,D6,BJA-Nilerat-20220915_1732M_29wk_0621
47,D7,BJA-Nilerat-20220915_1727M_29wk_0621
48,D8,BJA-Nilerat-20220915_1746F_31wk_0707
49,D9,BJA-Nilerat-20220915_1812F_31wk_0826
50,E0,BJA-Nilerat-20220915_1811F_31wk_0826
51,G1,BJA-Nilerat-20220915_extract_blank
52,H1,BJA-Nilerat-20220915_1700s_QC25uL
53,H2,BJA-Nilerat-20220915_1700s_QC50uL
54,H3,BJA-Nilerat-20220915_1700s_QC100uL
55,H4,BJA-Nilerat-20220915_1700s_QC150uL
56,H5,BJA-Nilerat-20220915_1700s_QC200uL
57,G1,BJA-Nilerat-20220915_extract_blank
58,G2,BJA-Nilerat-20220915_resuspension_blank
