,original,validation,animal,sex,cohort,sampling,week,num_wk_before_ogtt,OGTT glucAUC
1091_8_FBG,True,False,1091,M,young,fasted,8.0,4.0,317.6666667
1091_10_FBG,True,False,1091,M,young,fasted,10.0,2.0,317.6666667
1093_8_FBG,True,False,1093,M,young,fasted,8.0,4.0,417.625
1093_9_FBG,True,False,1093,M,young,fasted,9.0,3.0,417.625
1093_10_FBG,True,False,1093,M,young,fasted,10.0,2.0,417.625
1060_8_FBG,True,False,1060,M,young,fasted,8.0,4.0,812.375
1060_9_FBG,True,False,1060,M,young,fasted,9.0,3.0,812.375
1060_10_FBG,True,False,1060,M,young,fasted,10.0,2.0,812.375
1062_8_FBG,True,False,1062,M,young,fasted,8.0,4.0,728.625
1062_9_FBG,True,False,1062,M,young,fasted,9.0,3.0,728.625
1062_10_FBG,True,False,1062,M,young,fasted,10.0,2.0,728.625
1074_8_FBG,True,False,1074,M,young,fasted,8.0,4.0,587.5
1074_9_FBG,True,False,1074,M,young,fasted,9.0,3.0,587.5
1074_10_FBG,True,False,1074,M,young,fasted,10.0,2.0,587.5
1092_8_FBG,True,False,1092,M,young,fasted,8.0,4.0,567.0416667
1092_9_FBG,True,False,1092,M,young,fasted,9.0,3.0,567.0416667
1092_10_FBG,True,False,1092,M,young,fasted,10.0,2.0,567.0416667
1102_8_FBG,True,False,1102,M,young,fasted,8.0,4.0,776.0833333
1102_9_FBG,True,False,1102,M,young,fasted,9.0,3.0,776.0833333
1102_10_FBG,True,False,1102,M,young,fasted,10.0,2.0,776.0833333
1076_8_FBG,True,False,1076,M,young,fasted,8.0,4.0,1004.083333
1076_9_FBG,True,False,1076,M,young,fasted,9.0,3.0,1004.083333
1076_10_FBG,True,False,1076,M,young,fasted,10.0,2.0,1004.083333
1082_8_FBG,True,False,1082,M,young,fasted,8.0,4.0,941.0416667
1082_9_FBG,True,False,1082,M,young,fasted,9.0,3.0,941.0416667
1082_10_FBG,True,False,1082,M,young,fasted,10.0,2.0,941.0416667
1101_8_FBG,True,False,1101,M,young,fasted,8.0,4.0,916.7916667
1101_9_FBG,True,False,1101,M,young,fasted,9.0,3.0,916.7916667
1101_10_FBG,True,False,1101,M,young,fasted,10.0,2.0,916.7916667
1091_8_RBG,True,False,1091,M,young,non-fasted,8.0,4.0,317.6666667
1091_9_RBG,True,False,1091,M,young,non-fasted,9.0,3.0,317.6666667
1091_10_RBG,True,False,1091,M,young,non-fasted,10.0,2.0,317.6666667
1093_8_RBG,True,False,1093,M,young,non-fasted,8.0,4.0,417.625
1093_9_RBG,True,False,1093,M,young,non-fasted,9.0,3.0,417.625
1093_10_RBG,True,False,1093,M,young,non-fasted,10.0,2.0,417.625
1060_8_RBG,True,False,1060,M,young,non-fasted,8.0,4.0,812.375
1060_9_RBG,True,False,1060,M,young,non-fasted,9.0,3.0,812.375
1060_10_RBG,True,False,1060,M,young,non-fasted,10.0,2.0,812.375
1062_8_RBG,True,False,1062,M,young,non-fasted,8.0,4.0,728.625
1062_9_RBG,True,False,1062,M,young,non-fasted,9.0,3.0,728.625
1062_10_RBG,True,False,1062,M,young,non-fasted,10.0,2.0,728.625
1074_8_RBG,True,False,1074,M,young,non-fasted,8.0,4.0,587.5
1074_9_RBG,True,False,1074,M,young,non-fasted,9.0,3.0,587.5
1074_10_RBG,True,False,1074,M,young,non-fasted,10.0,2.0,587.5
1092_8_RBG,True,False,1092,M,young,non-fasted,8.0,4.0,567.0416667
1092_9_RBG,True,False,1092,M,young,non-fasted,9.0,3.0,567.0416667
1092_10_RBG,True,False,1092,M,young,non-fasted,10.0,2.0,567.0416667
1102_8_RBG,True,False,1102,M,young,non-fasted,8.0,4.0,776.0833333
1102_9_RBG,True,False,1102,M,young,non-fasted,9.0,3.0,776.0833333
1102_10_RBG,True,False,1102,M,young,non-fasted,10.0,2.0,776.0833333
1076_8_RBG,True,False,1076,M,young,non-fasted,8.0,4.0,1004.083333
1076_9_RBG,True,False,1076,M,young,non-fasted,9.0,3.0,1004.083333
1076_10_RBG,True,False,1076,M,young,non-fasted,10.0,2.0,1004.083333
1082_8_RBG,True,False,1082,M,young,non-fasted,8.0,4.0,941.0416667
1082_9_RBG,True,False,1082,M,young,non-fasted,9.0,3.0,941.0416667
1082_10_RBG,True,False,1082,M,young,non-fasted,10.0,2.0,941.0416667
1101_8_RBG,True,False,1101,M,young,non-fasted,8.0,4.0,916.7916667
1101_9_RBG,True,False,1101,M,young,non-fasted,9.0,3.0,916.7916667
1101_10_RBG,True,False,1101,M,young,non-fasted,10.0,2.0,916.7916667
1727_27_RBG,False,True,1727,M,mature,non-fasted,27.0,4.0,636.7083333
1727_28_RBG,False,True,1727,M,mature,non-fasted,28.0,3.0,636.7083333
1727_29_RBG,False,True,1727,M,mature,non-fasted,29.0,2.0,636.7083333
1728_27_RBG,False,True,1728,M,mature,non-fasted,27.0,4.0,729.4583333
1728_28_RBG,False,True,1728,M,mature,non-fasted,28.0,3.0,729.4583333
1728_30_RBG,False,True,1728,M,mature,non-fasted,30.0,2.0,729.4583333
1731_30_RBG,False,True,1731,F,mature,non-fasted,30.0,4.0,686.975
1731_31_RBG,False,True,1731,F,mature,non-fasted,31.0,3.0,686.975
1731_32_RBG,False,True,1731,F,mature,non-fasted,32.0,2.0,686.975
1732_27_RBG,False,True,1732,M,mature,non-fasted,27.0,4.0,631.0
1732_28_RBG,False,True,1732,M,mature,non-fasted,28.0,3.0,631.0
1732_29_RBG,False,True,1732,M,mature,non-fasted,29.0,2.0,631.0
1735_29_RBG,False,True,1735,M,mature,non-fasted,29.0,4.0,601.5
1735_30_RBG,False,True,1735,M,mature,non-fasted,30.0,3.0,601.5
1735_31_RBG,False,True,1735,M,mature,non-fasted,31.0,2.0,601.5
1741_26_RBG,False,True,1741,M,mature,non-fasted,26.0,4.0,734.0833333
1741_27_RBG,False,True,1741,M,mature,non-fasted,27.0,3.0,734.0833333
1741_28_RBG,False,True,1741,M,mature,non-fasted,28.0,2.0,734.0833333
1742_32_RBG,False,True,1742,F,mature,non-fasted,32.0,4.0,429.0416667
1742_33_RBG,False,True,1742,F,mature,non-fasted,33.0,3.0,429.0416667
1742_34_RBG,False,True,1742,F,mature,non-fasted,34.0,2.0,429.0416667
1743_31_RBG,False,True,1743,F,mature,non-fasted,31.0,4.0,595.9583333
1743_32_RBG,False,True,1743,F,mature,non-fasted,32.0,3.0,595.9583333
1743_33_RBG,False,True,1743,F,mature,non-fasted,33.0,2.0,595.9583333
1746_30_RBG,False,True,1746,F,mature,non-fasted,30.0,4.0,496.4166667
1746_31_RBG,False,True,1746,F,mature,non-fasted,31.0,3.0,496.4166667
1746_32_RBG,False,True,1746,F,mature,non-fasted,32.0,2.0,496.4166667
1748_29_RBG,False,True,1748,F,mature,non-fasted,29.0,4.0,627.5
1748_30_RBG,False,True,1748,F,mature,non-fasted,30.0,3.0,627.5
1748_31_RBG,False,True,1748,F,mature,non-fasted,31.0,2.0,627.5
1754_30_RBG,False,True,1754,F,mature,non-fasted,30.0,4.0,524.3333333
1754_31_RBG,False,True,1754,F,mature,non-fasted,31.0,3.0,524.3333333
1754_32_RBG,False,True,1754,F,mature,non-fasted,32.0,2.0,524.3333333
